ID,Name,Critic_Score,Critic_Count,User_Score,User_Count
329,Mario & Luigi: Bowser's Inside Story,,,,
330,LEGO Indiana Jones: The Original Adventures,77,60,7.5,66
331,The Sims: Unleashed,79,21,8,29
332,Ratchet & Clank: Size Matters,,,,
333,Harry Potter and the Sorcerer's Stone,64,11,7.5,41
334,Mario & Sonic at the London 2012 Olympic Games,,,,
335,Resident Evil 3: Nemesis,,,,
336,Super Paper Mario,85,56,7.9,417
337,Spyro: Year of the Dragon,91,15,8.8,207
338,Assassin's Creed IV: Black Flag,88,36,8.1,840
339,FIFA Soccer 2005,81,27,7.6,56
340,Pokémon Trading Card Game,,,,
341,Friend Collection,,,,
342,Tony Hawk's Pro Skater 4,94,27,8.5,128
343,Star Wars Battlefront (2015),,,,
344,MySims,67,15,7.3,13
345,Midnight Club 3: DUB Edition,74,34,8.4,31
346,Banjo-Kazooie,,,,
347,SOCOM: U.S. Navy SEALs,82,42,7.9,82
348,Jak and Daxter: The Precursor Legacy,90,35,8.7,312
349,Pokemon Snap,,,,
350,Pro Evolution Soccer 2008,82,10,7.9,38
351,Resident Evil 4,96,38,8.9,1013
352,Guitar Hero: World Tour,86,18,7.6,71
353,FIFA Soccer 10,91,56,7.6,203
354,Star Wars: Battlefront,82,36,8.7,142
355,Doom II: Hell on Earth,,,,
356,The Simpsons: Road Rage,64,23,7.7,32
357,Luigi's Mansion,78,34,8.5,161
358,Battlefield 4,85,18,6.9,1580
359,Star Wars: Battlefront II,84,30,9,268
360,Just Dance 2014,,,6.2,10
361,Cooking Mama 2: Dinner With Friends,70,39,8,9
362,WWF SmackDown!,,,,
363,Croc: Legend of the Gobbos,,,,
364,Grand Theft Auto: Liberty City Stories,78,49,7.8,112
365,The Getaway,72,49,6.8,88
366,Tomb Raider III: Adventures of Lara Croft,,,,
367,James Bond 007: Agent Under Fire,72,27,7.9,48
368,LEGO Star Wars: The Video Game,,,,
369,Rugrats in Paris: The Movie,,,,
370,FIFA Soccer 11,88,66,7.5,155
371,Spyro 2: Ripto's Rage!,,,,
372,Left 4 Dead,89,67,7.9,1309
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,,,,
374,Assassin's Creed: Unity,72,59,4.1,1005
375,Kung Fu,,,,
376,Resident Evil 5,83,91,7.5,523
377,Assassin's Creed: Brotherhood,89,81,8.3,693
378,FIFA Soccer 2004,84,20,6.4,76
379,Battlefield 4,80,14,5.8,579
380,Batman: Arkham Asylum,92,78,8.7,1080
381,Battlefield 4,79,21,5.6,542
382,Battlefield: Bad Company 2,88,75,8.6,869
383,Mario & Sonic at the Olympic Winter Games,,,,
384,Guitar Hero: On Tour,71,70,8.8,29
385,Clubhouse Games,83,30,8.4,28
386,Monster Hunter 4,,,,
387,Borderlands,84,83,8.2,715
388,Tekken 4,79,23,8.3,126
389,Final Fantasy III,,,,
390,Grand Theft Auto 2,70,15,8,67
391,Metal Gear Solid V: The Phantom Pain,93,86,8.2,3943
392,Spider-Man 2,80,50,8.9,106
393,F-1 Race,,,,
394,FIFA Soccer 2003,88,15,6.7,35
395,LittleBigPlanet 2,91,86,8.4,657
396,Crash Bash,68,12,8.2,99
397,Assassin's Creed Syndicate,76,86,6.8,1319
398,LEGO Batman: The Videogame,76,49,7.9,75
399,Destiny,75,11,5.5,1735
400,WWF War Zone,,,,
401,The Legend of Zelda: Majora's Mask,,,,
402,Far Cry 3,90,32,8.5,1041
403,Rugrats: Search For Reptar,,,,
404,English Training: Have Fun Improving Your Skills!,,,,
405,James Bond 007: Nightfire,77,20,8.5,66
406,Ratchet & Clank,,,,
407,Monster Hunter X,,,,
408,Star Wars Episode III: Revenge of the Sith,60,34,7.2,82
409,The Legend of Zelda: Spirit Tracks,87,75,7.8,228
410,Max Payne,80,21,8.5,86
411,Assassin's Creed IV: Black Flag,86,35,7.9,701
412,The Lord of the Rings: The Return of the King,85,31,8.7,105
413,Yokai Watch 2 Ganso/Honke,,,,
414,Gears of War: Ultimate Edition,82,74,7.5,563
415,True Crime: Streets of LA,77,39,8,94
416,Professor Layton and the Unwound Future,86,62,9.2,111
417,Gran Turismo (PSP),,,,
418,FIFA 16,84,45,4.4,459
419,Wii Music,63,43,4.6,116
420,Tekken,,,,
421,Madden NFL 16,83,37,5.9,180
422,Gran Turismo 6,81,81,7.7,758
423,Halo: The Master Chief Collection,85,69,7.2,1267
424,007: Tomorrow Never Dies,,,,
425,Super Mario Maker,88,85,8.7,691
426,WWF SmackDown! 2: Know Your Role,,,,
427,Baseball,,,,
428,Killer Instinct,,,,
429,Dragon Quest VI: Maboroshi no Daichi,,,,
430,God of War: Chains of Olympus,91,79,8.6,565
431,Enter the Matrix,62,30,8.1,137
432,Crisis Core: Final Fantasy VII,83,67,8,463
433,Dance Central,82,63,7.6,85
434,L.A. Noire,89,78,7.7,1010
435,Ace Combat 04: Shattered Skies,89,22,9.1,95
436,Animal Crossing,87,42,8.9,137
437,FIFA Soccer 08,83,12,6.5,36
438,Club Penguin: Elite Penguin Force,,,8,37
439,Spider-Man,87,19,9,107
440,Mario Party 9,73,45,6.8,155
441,Need for Speed III: Hot Pursuit,88,13,,
442,Star Wars Episode I Racer,,,,
443,Sonic Rush,82,43,8.5,101
444,Dragon Warrior IV,,,,
445,Rhythm Heaven,83,48,9,63
446,Fallout: New Vegas,82,57,7.8,492
447,Personal Trainer: Cooking,81,12,7.8,10
448,The Elder Scrolls IV: Oblivion,93,45,8,604
449,The Legend of Zelda: A Link Between Worlds,91,81,8.9,1057
